qid,docno,score,rank
3,201645,12.140625,9
3,173230,11.921875,10
3,175305,11.875,11
3,137905,11.7421875,12
3,122671,11.7265625,13
3,136275,11.6015625,14
3,135767,11.59375,15
3,174357,11.4375,16
3,176924,11.265625,17
3,173167,11.171875,18
3,174064,11.125,19
3,174941,11.09375,20
3,6178,11.0546875,21
3,174251,11.015625,22
3,174354,10.9921875,23
3,174414,10.953125,24
3,177849,10.9375,25
3,122436,10.90625,26
3,122029,10.8671875,27
3,176564,10.859375,28
3,176527,10.8125,29
3,123470,10.796875,30
3,54660,10.7890625,31
3,63097,10.7734375,32
3,173132,10.7734375,33
3,176611,10.75,34
3,82353,10.6015625,35
3,115626,10.578125,36
3,176926,10.5703125,37
3,173213,10.5546875,38
3,177815,10.5546875,39
3,54604,10.546875,40
3,233392,10.53125,41
3,173950,10.5234375,42
3,54557,10.46875,43
3,116270,10.4609375,44
3,174122,10.4375,45
3,82352,10.4296875,46
3,175162,10.3828125,47
3,221313,10.359375,48
3,174413,10.3359375,49
3,173576,10.3203125,50
3,174339,10.3125,51
3,54601,10.265625,52
3,175156,10.2421875,53
3,136377,10.203125,54
3,54586,10.1796875,55
3,116688,10.171875,56
3,175143,10.1640625,57
3,175332,10.1015625,58
3,136198,10.1015625,59
3,173778,10.09375,60
3,123964,10.0859375,61
3,54588,10.0859375,62
3,176816,10.0546875,63
3,82355,10.0390625,64
3,177225,10.0234375,65
3,232512,10.015625,66
3,177181,10.0078125,67
3,176761,10.0078125,68
3,173258,9.9921875,69
3,135787,9.9921875,70
3,176580,9.9921875,71
3,175409,9.9765625,72
3,82354,9.96875,73
3,162838,9.953125,74
3,54584,9.921875,75
3,174136,9.921875,76
3,177840,9.9140625,77
3,135888,9.8984375,78
3,175713,9.890625,79
3,62814,9.84375,80
3,174375,9.84375,81
3,174220,9.8359375,82
3,9175,9.8125,83
3,218993,9.765625,84
3,135786,9.71875,85
3,116661,9.7109375,86
3,55209,9.6875,87
3,114847,9.6796875,88
3,136372,9.671875,89
3,54575,9.6171875,90
3,175449,9.59375,91
3,135789,9.5859375,92
3,176927,9.578125,93
3,173338,9.5703125,94
3,173313,9.546875,95
3,119477,9.5234375,96
3,175193,9.515625,97
3,173974,9.515625,98
3,125769,9.515625,99
4,175343,24.109375,0
4,177843,24.0,1
4,174505,23.921875,2
4,176583,23.921875,3
4,177844,23.703125,4
4,174187,23.703125,5
4,176584,23.625,6
4,175314,23.421875,7
4,174209,23.40625,8
4,174153,23.34375,9
4,174504,23.125,10
4,115323,23.09375,11
4,177832,23.046875,12
4,113953,22.96875,13
4,174160,22.890625,14
4,175259,22.890625,15
4,124791,22.6875,16
4,115317,22.53125,17
4,173902,22.25,18
4,173364,21.359375,19
4,174465,21.171875,20
4,176534,20.84375,21
4,115495,20.765625,22
4,175731,20.703125,23
4,173915,20.609375,24
4,230724,20.5625,25
4,175732,20.5,26
4,54673,20.46875,27
4,115905,20.4375,28
4,173307,20.421875,29
4,175086,20.359375,30
4,173591,20.1875,31
4,135786,20.125,32
4,121752,20.03125,33
4,174341,19.859375,34
4,114845,19.71875,35
4,173800,19.625,36
4,175596,19.609375,37
4,54584,19.375,38
4,199911,19.359375,39
4,122671,19.359375,40
4,173775,19.359375,41
4,175358,19.34375,42
4,173777,19.328125,43
4,173774,19.296875,44
4,175671,19.28125,45
4,175324,19.265625,46
4,173413,19.109375,47
4,173801,19.09375,48
4,173768,18.984375,49
4,174002,18.96875,50
4,173998,18.796875,51
4,115658,18.734375,52
4,174515,18.703125,53
4,174212,18.453125,54
4,173776,18.359375,55
4,173793,18.34375,56
4,54554,18.328125,57
4,177824,18.265625,58
4,173600,18.171875,59
4,176072,18.15625,60
4,174216,18.109375,61
4,120674,18.109375,62
4,176689,18.046875,63
4,9175,17.984375,64
4,175502,17.96875,65
4,54619,17.953125,66
4,54547,17.921875,67
4,177833,17.921875,68
4,175695,17.921875,69
4,54563,17.90625,70
4,130758,17.90625,71
4,175676,17.890625,72
4,174204,17.875,73
4,128901,17.875,74
4,173997,17.859375,75
4,9242,17.859375,76
4,232643,17.84375,77
4,52167,17.8125,78
4,174171,17.796875,79
4,220202,17.78125,80
4,136275,17.78125,81
4,123470,17.78125,82
4,173903,17.765625,83
4,176927,17.765625,84
4,116988,17.765625,85
4,124454,17.765625,86
4,114847,17.734375,87
4,176186,17.734375,88
4,135789,17.71875,89
4,176570,17.71875,90
4,218963,17.703125,91
4,175501,17.6875,92
4,175723,17.6875,93
4,218918,17.6875,94
4,177827,17.6875,95
4,175429,17.6875,96
4,137284,17.65625,97
4,176919,17.65625,98
4,124472,17.65625,99
5,174187,20.921875,0
5,173775,20.859375,1
5,218963,19.984375,2
5,124836,19.84375,3
5,173777,19.75,4
5,177827,19.703125,5
5,54584,19.625,6
5,173600,19.53125,7
5,177826,19.453125,8
5,124472,19.40625,9
5,128825,19.375,10
5,124075,19.375,11
5,175358,19.28125,12
5,128800,19.21875,13
5,176562,19.203125,14
5,177844,19.1875,15
5,128797,19.171875,16
5,173800,19.15625,17
5,135888,19.125,18
5,173307,19.09375,19
5,174190,19.09375,20
5,174515,19.0625,21
5,176584,19.046875,22
5,128854,19.03125,23
5,174002,19.0,24
5,175623,18.953125,25
5,173801,18.875,26
5,128802,18.859375,27
5,173768,18.8125,28
5,20157,18.8125,29
5,174505,18.78125,30
5,122671,18.71875,31
5,176186,18.703125,32
5,114845,18.671875,33
5,174192,18.65625,34
5,133156,18.65625,35
5,174504,18.640625,36
5,136384,18.640625,37
5,54563,18.625,38
5,63057,18.625,39
5,173413,18.59375,40
5,253582,18.578125,41
5,136408,18.5625,42
5,175596,18.5625,43
5,176772,18.546875,44
5,137284,18.546875,45
5,174193,18.546875,46
5,125817,18.53125,47
5,54619,18.53125,48
5,253808,18.53125,49
5,124727,18.515625,50
5,177214,18.515625,51
5,253094,18.515625,52
5,253809,18.515625,53
5,239392,18.515625,54
5,176919,18.515625,55
5,174341,18.5,56
5,253797,18.5,57
5,176841,18.484375,58
5,177832,18.484375,59
5,124677,18.484375,60
5,175343,18.484375,61
5,176803,18.46875,62
5,175695,18.46875,63
5,173776,18.46875,64
5,136082,18.453125,65
5,175324,18.453125,66
5,253798,18.453125,67
5,218918,18.4375,68
5,253127,18.4375,69
5,175761,18.4375,70
5,128901,18.40625,71
5,173956,18.40625,72
5,128913,18.40625,73
5,125762,18.40625,74
5,122695,18.40625,75
5,124454,18.390625,76
5,253108,18.390625,77
5,201639,18.390625,78
5,177824,18.375,79
5,177843,18.375,80
5,173938,18.359375,81
5,174119,18.359375,82
5,52999,18.359375,83
5,176828,18.34375,84
5,176927,18.34375,85
5,174183,18.34375,86
5,125520,18.34375,87
5,125832,18.34375,88
5,175671,18.34375,89
5,233107,18.34375,90
5,54554,18.328125,91
5,173936,18.328125,92
5,122030,18.328125,93
5,174376,18.328125,94
5,124367,18.3125,95
5,124030,18.3125,96
5,62814,18.3125,97
5,120674,18.296875,98
5,125725,18.296875,99
6,174341,19.234375,0
6,173600,18.84375,1
6,175610,18.53125,2
6,175608,18.53125,3
6,176591,18.390625,4
6,174259,18.328125,5
6,175797,18.25,6
6,173777,18.25,7
6,173307,18.21875,8
6,174055,18.109375,9
6,173775,18.078125,10
6,175156,18.046875,11
6,173800,18.03125,12
6,173149,17.96875,13
6,175275,17.96875,14
6,173848,17.953125,15
6,173770,17.921875,16
6,174340,17.921875,17
6,175609,17.90625,18
6,54584,17.90625,19
6,175276,17.890625,20
6,114845,17.84375,21
6,174187,17.796875,22
6,173155,17.78125,23
6,176590,17.75,24
6,175445,17.734375,25
6,173973,17.671875,26
6,116239,17.625,27
6,173957,17.625,28
6,175358,17.59375,29
6,177844,17.546875,30
6,123964,17.53125,31
6,173232,17.53125,32
6,174342,17.515625,33
6,173768,17.46875,34
6,174435,17.453125,35
6,174002,17.4375,36
6,176584,17.421875,37
6,175619,17.40625,38
6,173180,17.40625,39
6,175596,17.375,40
6,173801,17.375,41
6,115317,17.15625,42
6,173993,17.140625,43
6,175429,17.140625,44
6,54558,17.125,45
6,173413,17.125,46
6,173776,17.109375,47
6,122671,17.09375,48
6,173897,17.09375,49
6,175493,17.078125,50
6,174505,17.0625,51
6,173864,16.96875,52
6,136384,16.921875,53
6,54661,16.890625,54
6,220202,16.890625,55
6,137284,16.890625,56
6,175343,16.859375,57
6,173207,16.828125,58
6,175324,16.828125,59
6,175695,16.828125,60
6,113953,16.8125,61
6,115658,16.796875,62
6,177832,16.765625,63
6,174209,16.75,64
6,174504,16.75,65
6,175314,16.71875,66
6,175390,16.71875,67
6,177843,16.671875,68
6,218918,16.671875,69
6,173774,16.65625,70
6,175259,16.640625,71
6,173851,16.640625,72
6,20157,16.625,73
6,120674,16.625,74
6,124472,16.59375,75
6,136408,16.59375,76
6,176919,16.59375,77
6,174160,16.5625,78
6,219053,16.5625,79
6,128825,16.5625,80
6,176927,16.546875,81
6,174153,16.53125,82
6,174510,16.53125,83
6,229279,16.53125,84
6,176583,16.515625,85
6,175542,16.515625,86
6,253582,16.515625,87
6,176186,16.5,88
6,124075,16.5,89
6,173798,16.5,90
6,128797,16.484375,91
6,124791,16.453125,92
6,177824,16.453125,93
6,173902,16.4375,94
6,128800,16.4375,95
6,175671,16.421875,96
6,54563,16.40625,97
6,115323,16.390625,98
6,175079,16.390625,99
7,173839,9.046875,0
7,192024,8.6875,1
7,175772,8.515625,2
7,174051,8.2265625,3
7,123470,8.109375,4
7,173840,8.046875,5
7,175175,8.0390625,6
7,173590,7.8671875,7
7,177824,7.69140625,8
7,175479,7.640625,9
7,174216,7.63671875,10
7,173995,7.5546875,11
7,201645,7.48046875,12
7,173460,7.48046875,13
7,173259,7.4453125,14
7,173960,7.3671875,15
7,176684,7.35546875,16
7,176686,7.34765625,17
7,175674,7.30859375,18
7,176590,7.26171875,19
7,174339,7.25,20
7,174473,7.2421875,21
7,174057,7.19921875,22
7,175305,7.17578125,23
7,173931,7.1640625,24
7,176564,7.15234375,25
7,54620,7.15234375,26
7,173239,7.12890625,27
7,175177,7.12890625,28
7,175585,7.109375,29
7,175200,7.0625,30
7,174052,7.04296875,31
7,176591,7.015625,32
7,114845,7.015625,33
7,165052,6.96484375,34
7,135888,6.96484375,35
7,173768,6.94921875,36
7,175770,6.9375,37
7,123875,6.86328125,38
7,175771,6.859375,39
7,174120,6.85546875,40
7,175155,6.85546875,41
7,174414,6.82421875,42
7,175164,6.8125,43
7,120514,6.796875,44
7,176581,6.78125,45
7,201615,6.76171875,46
7,175610,6.76171875,47
7,174352,6.73828125,48
7,173600,6.73046875,49
7,173842,6.72265625,50
7,175850,6.71875,51
7,173148,6.71484375,52
7,52170,6.6953125,53
7,175608,6.69140625,54
7,54622,6.66015625,55
7,9237,6.62890625,56
7,173952,6.625,57
7,173184,6.62109375,58
7,173159,6.609375,59
7,173163,6.58984375,60
7,173217,6.58984375,61
7,176672,6.58984375,62
7,244819,6.58203125,63
7,173208,6.57421875,64
7,174461,6.57421875,65
7,125757,6.51953125,66
7,176661,6.51953125,67
7,174244,6.515625,68
7,173201,6.5,69
7,124533,6.5,70
7,176663,6.46875,71
7,54621,6.46875,72
7,8627,6.46875,73
7,174171,6.46484375,74
7,175259,6.45703125,75
7,174338,6.44921875,76
7,173143,6.4453125,77
7,174509,6.4375,78
7,175802,6.4375,79
7,174119,6.4375,80
7,81420,6.4296875,81
7,173233,6.41796875,82
7,176730,6.41015625,83
7,122924,6.3984375,84
7,174050,6.3828125,85
7,150202,6.3828125,86
7,174319,6.37109375,87
7,12176,6.3671875,88
7,173167,6.3515625,89
7,249574,6.34765625,90
7,173851,6.33984375,91
7,173141,6.3359375,92
7,174307,6.33203125,93
7,175797,6.328125,94
7,175744,6.32421875,95
7,175156,6.3203125,96
7,173219,6.3125,97
7,176522,6.30859375,98
7,175836,6.30859375,99
8,176564,22.265625,0
8,174517,21.359375,1
8,176925,21.265625,2
8,173771,21.1875,3
8,136205,21.09375,4
8,243398,21.09375,5
8,136411,21.0625,6
8,114847,21.03125,7
8,136555,21.03125,8
8,136543,20.9375,9
8,174361,20.9375,10
8,136545,20.9375,11
8,3111,20.90625,12
8,174251,20.875,13
8,175747,20.8125,14
8,136373,20.796875,15
8,65794,20.78125,16
8,85676,20.78125,17
8,173893,20.75,18
8,175175,20.734375,19
8,173894,20.71875,20
8,173938,20.71875,21
8,175375,20.703125,22
8,128825,20.6875,23
8,128797,20.65625,24
8,126009,20.640625,25
8,128854,20.609375,26
8,128800,20.59375,27
8,229847,20.578125,28
8,175373,20.515625,29
8,173957,20.5,30
8,128802,20.484375,31
8,246327,20.46875,32
8,174513,20.4375,33
8,152701,20.4375,34
8,124738,20.421875,35
8,175177,20.421875,36
8,41380,20.390625,37
8,187593,20.34375,38
8,253815,20.3125,39
8,152088,20.25,40
8,174289,20.25,41
8,61386,20.25,42
8,176543,20.21875,43
8,191480,20.171875,44
8,153662,20.09375,45
8,173590,19.953125,46
8,49738,19.890625,47
8,153663,19.890625,48
8,244235,19.890625,49
8,110549,19.859375,50
8,179001,19.84375,51
8,230575,19.84375,52
8,109359,19.828125,53
8,174072,19.78125,54
8,177821,19.765625,55
8,124737,19.765625,56
8,44727,19.765625,57
8,233311,19.765625,58
8,176682,19.734375,59
8,137619,19.703125,60
8,145746,19.65625,61
8,128209,19.640625,62
8,177829,19.609375,63
8,63097,19.515625,64
8,174503,19.5,65
8,173257,19.5,66
8,244819,19.28125,67
8,21257,19.28125,68
8,174244,19.15625,69
8,124472,18.96875,70
8,175771,18.859375,71
8,176186,18.796875,72
8,22739,18.71875,73
8,173904,18.625,74
8,174193,18.578125,75
8,123470,18.453125,76
8,173600,18.421875,77
8,253582,18.40625,78
8,124075,18.390625,79
8,122671,18.328125,80
8,122030,18.28125,81
8,176523,18.25,82
8,176661,18.25,83
8,232926,18.234375,84
8,175597,18.171875,85
8,122695,18.15625,86
8,133156,18.140625,87
8,125762,18.125,88
8,233107,18.125,89
8,125832,18.078125,90
8,125520,18.0625,91
8,124367,18.046875,92
8,253108,18.046875,93
8,177824,18.015625,94
8,125725,18.015625,95
8,175374,18.015625,96
8,125469,18.0,97
8,124966,17.96875,98
8,176098,17.953125,99
9,120514,17.125,0
9,3111,16.953125,1
9,243398,16.9375,2
9,229847,16.65625,3
9,152701,16.625,4
9,65794,16.59375,5
9,176543,16.5625,6
9,123470,16.390625,7
9,85676,16.359375,8
9,61386,16.3125,9
9,173952,16.296875,10
9,41380,16.234375,11
9,177821,16.109375,12
9,150202,16.078125,13
9,174244,16.0625,14
9,21257,15.8359375,15
9,175446,15.6171875,16
9,230724,15.609375,17
9,128797,15.5859375,18
9,128800,15.5546875,19
9,230575,15.53125,20
9,233311,15.484375,21
9,173576,15.46875,22
9,176672,15.4609375,23
9,187593,15.4453125,24
9,175177,15.390625,25
9,246327,15.3359375,26
9,173257,15.3203125,27
9,173590,15.21875,28
9,174289,15.109375,29
9,175745,15.109375,30
9,175081,15.1015625,31
9,176483,15.09375,32
9,152088,15.0859375,33
9,175155,15.0390625,34
9,44727,15.03125,35
9,177794,15.03125,36
9,174051,15.0234375,37
9,145746,15.0234375,38
9,244235,15.0234375,39
9,153662,14.9140625,40
9,109359,14.890625,41
9,153663,14.8828125,42
9,175597,14.875,43
9,49738,14.859375,44
9,201643,14.8515625,45
9,176564,14.7890625,46
9,175305,14.7890625,47
9,211399,14.78125,48
9,175259,14.7734375,49
9,124472,14.765625,50
9,176186,14.765625,51
9,244819,14.7578125,52
9,128854,14.7421875,53
9,8627,14.71875,54
9,110549,14.71875,55
9,175156,14.71875,56
9,201645,14.6875,57
9,174503,14.625,58
9,253582,14.625,59
9,128825,14.6171875,60
9,174072,14.609375,61
9,136192,14.6015625,62
9,176522,14.578125,63
9,174057,14.5703125,64
9,230797,14.5625,65
9,174187,14.5546875,66
9,177829,14.515625,67
9,174339,14.5078125,68
9,174299,14.5078125,69
9,128802,14.5,70
9,124075,14.4765625,71
9,137619,14.46875,72
9,176714,14.4453125,73
9,229279,14.4453125,74
9,22739,14.4140625,75
9,176682,14.3515625,76
9,179001,14.328125,77
9,175771,14.3046875,78
9,122924,14.2734375,79
9,173893,14.203125,80
9,173236,14.1875,81
9,173894,14.1796875,82
9,233279,14.1640625,83
9,175836,14.15625,84
9,54547,14.140625,85
9,173219,14.1328125,86
9,173938,14.109375,87
9,6178,14.09375,88
9,125757,14.09375,89
9,173235,14.0625,90
9,177824,14.0234375,91
9,177810,14.0078125,92
9,175143,13.96875,93
9,174050,13.9296875,94
9,106296,13.9296875,95
9,173149,13.8515625,96
9,232923,13.7578125,97
9,173600,13.7578125,98
9,174395,13.7109375,99
10,176523,17.0625,0
10,174358,16.796875,1
10,174408,16.78125,2
10,177811,16.734375,3
10,174345,16.59375,4
10,173798,16.46875,5
10,175162,16.453125,6
10,175623,16.265625,7
10,175542,16.25,8
10,174414,16.25,9
10,176743,16.234375,10
10,122671,15.5078125,11
10,173955,14.2734375,12
10,81420,14.09375,13
10,175177,13.734375,14
10,173793,13.5859375,15
10,173995,13.515625,16
10,114845,13.5078125,17
10,175197,13.484375,18
10,114844,13.4765625,19
10,234635,13.390625,20
10,253797,13.359375,21
10,174192,13.34375,22
10,253127,13.3359375,23
10,253808,13.328125,24
10,1825,13.2890625,25
10,47986,13.28125,26
10,135516,13.2734375,27
10,174193,13.265625,28
10,113953,13.265625,29
10,176841,13.2578125,30
10,253809,13.2578125,31
10,19961,13.25,32
10,115139,13.234375,33
10,253094,13.234375,34
10,114847,13.2265625,35
10,176803,13.21875,36
10,253798,13.2109375,37
10,174008,13.2109375,38
10,174194,13.203125,39
10,114987,13.203125,40
10,174186,13.1953125,41
10,232323,13.1796875,42
10,232647,13.171875,43
10,176772,13.1484375,44
10,174195,13.140625,45
10,173789,13.140625,46
10,116997,13.140625,47
10,115175,13.125,48
10,234636,13.125,49
10,116993,13.1015625,50
10,253810,13.078125,51
10,174372,13.0703125,52
10,232322,13.0390625,53
10,177214,13.03125,54
10,253795,13.0078125,55
10,175761,13.0078125,56
10,136198,13.0078125,57
10,136236,12.984375,58
10,253185,12.96875,59
10,173777,12.9609375,60
10,116988,12.9609375,61
10,175686,12.953125,62
10,173778,12.953125,63
10,115612,12.9453125,64
10,220532,12.921875,65
10,135767,12.921875,66
10,41380,12.90625,67
10,135686,12.875,68
10,135787,12.875,69
10,232643,12.84375,70
10,135886,12.828125,71
10,233107,12.8203125,72
10,124966,12.8203125,73
10,175164,12.8203125,74
10,176674,12.7890625,75
10,174249,12.78125,76
10,174211,12.7734375,77
10,135888,12.7734375,78
10,12030,12.765625,79
10,173219,12.7421875,80
10,122695,12.7421875,81
10,174244,12.7421875,82
10,125817,12.734375,83
10,173907,12.7265625,84
10,124727,12.71875,85
10,176828,12.7109375,86
10,125762,12.7109375,87
10,125832,12.7109375,88
10,177804,12.7109375,89
10,177003,12.703125,90
10,124677,12.6953125,91
10,174243,12.6953125,92
10,173194,12.6953125,93
10,124367,12.6875,94
10,115323,12.6875,95
10,219452,12.6796875,96
10,177806,12.6796875,97
10,162684,12.671875,98
10,61386,12.6640625,99
11,176523,19.578125,0
11,177811,18.953125,1
11,174414,15.7265625,2
11,122671,15.3203125,3
11,173798,15.2109375,4
11,174345,15.078125,5
11,173259,15.0234375,6
11,175162,14.9921875,7
11,174408,14.90625,8
11,176743,14.5546875,9
11,174358,14.5546875,10
11,175623,14.4765625,11
11,177799,14.453125,12
11,175542,14.4375,13
11,176495,14.4140625,14
11,173936,14.2265625,15
11,174449,14.0703125,16
11,230693,14.0546875,17
11,175619,14.03125,18
11,173958,14.0234375,19
11,176581,13.828125,20
11,173849,13.75,21
11,23559,13.1484375,22
11,114715,13.140625,23
11,23563,13.1328125,24
11,233679,12.8203125,25
11,191480,12.796875,26
11,229643,12.7890625,27
11,130758,12.78125,28
11,173893,12.75,29
11,174395,12.734375,30
11,173165,12.7265625,31
11,174403,12.6796875,32
11,221669,12.671875,33
11,173894,12.671875,34
11,173938,12.6328125,35
11,173460,12.609375,36
11,118675,12.578125,37
11,135789,12.5390625,38
11,173931,12.515625,39
11,114714,12.3984375,40
11,177802,12.375,41
11,174298,12.3515625,42
11,233077,12.3359375,43
11,173899,12.3203125,44
11,176507,12.3203125,45
11,176665,12.1875,46
11,239959,12.1796875,47
11,177824,12.1796875,48
11,124738,12.1484375,49
11,175445,12.0703125,50
11,175595,12.0546875,51
11,173590,12.0390625,52
11,54643,12.03125,53
11,114503,12.0234375,54
11,176543,11.9921875,55
11,173600,11.953125,56
11,174187,11.921875,57
11,173992,11.859375,58
11,150183,11.8515625,59
11,173904,11.8359375,60
11,175772,11.8203125,61
11,6178,11.8125,62
11,173144,11.8046875,63
11,177821,11.796875,64
11,128797,11.78125,65
11,176661,11.7421875,66
11,128800,11.734375,67
11,125272,11.734375,68
11,173896,11.7265625,69
11,175446,11.71875,70
11,1825,11.703125,71
11,175390,11.6953125,72
11,246327,11.6796875,73
11,124472,11.6640625,74
11,173340,11.6171875,75
11,128854,11.59375,76
11,50307,11.5859375,77
11,124075,11.5859375,78
11,175429,11.578125,79
11,211399,11.578125,80
11,176186,11.578125,81
11,239957,11.546875,82
11,82355,11.5390625,83
11,54603,11.515625,84
11,175977,11.515625,85
11,174171,11.5078125,86
11,162902,11.5078125,87
11,128825,11.5,88
11,175968,11.4921875,89
11,173358,11.484375,90
11,253582,11.484375,91
11,175169,11.4765625,92
11,82354,11.4765625,93
11,128209,11.46875,94
11,128802,11.46875,95
11,174192,11.46875,96
11,162855,11.4453125,97
11,218918,11.4453125,98
11,173763,11.4375,99
12,176523,14.7109375,0
12,174358,14.5,1
12,177811,14.3046875,2
12,192024,14.234375,3
12,174414,14.171875,4
12,176743,14.078125,5
12,174119,13.9609375,6
12,175623,13.8671875,7
12,175451,13.84375,8
12,174408,13.84375,9
12,173839,13.65625,10
12,173259,13.609375,11
12,174345,13.40625,12
12,173798,13.3046875,13
12,174352,13.2890625,14
12,173841,13.2578125,15
12,175542,13.2265625,16
12,122671,13.21875,17
12,8018,13.203125,18
12,175162,13.1484375,19
12,177805,13.109375,20
12,174375,13.078125,21
12,174151,13.015625,22
12,174307,12.9921875,23
12,174488,12.921875,24
12,150202,12.8984375,25
12,174400,12.8984375,26
12,173843,12.859375,27
12,174187,12.84375,28
12,6178,12.7890625,29
12,191480,12.765625,30
12,7972,12.7421875,31
12,173590,12.6953125,32
12,175804,12.65625,33
12,150183,12.625,34
12,52555,12.578125,35
12,175800,12.453125,36
12,175247,12.296875,37
12,173340,12.0703125,38
